size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;10; 1;0,154353;
100000;9; 4;0,011532;
100000;10; 2;0,005422;
100000;9; 3;0,118023;
100000;9; 2;0,060801;
100000;8; 2;0,093663;
100000;9; 2;0,116441;
100000;7; 4;0,017718;
100000;9; 2;0,003693;
100000;8; 1;0,030010;
100000;7; 3;0,024989;
100000;8; 1;0,094976;
100000;10; 1;0,163042;
100000;10; 1;0,302246;
100000;7; 4;0,038087;
100000;9; 2;0,002074;
100000;8; 4;0,015834;
100000;8; 1;0,277862;
100000;8; 2;0,075321;
100000;8; 2;0,027870;
100000;9; 3;0,061387;
100000;10; 1;0,142559;
100000;9; 1;0,077808;
100000;9; 2;0,063432;
100000;7; 3;0,057670;
100000;8; 2;0,010331;
100000;8; 1;0,284958;
100000;11; 1;0,122741;
100000;8; 2;0,045352;
100000;6; 3;0,000336;
100000;9; 2;0,071374;
100000;8; 3;0,026856;
100000;8; 2;0,277907;
100000;10; 1;0,043987;
100000;9; 3;0,037926;
100000;8; 2;0,081798;
100000;10; 2;0,158600;
100000;9; 1;0,001298;
100000;10; 1;0,136933;
100000;8; 2;0,010457;
100000;9; 3;0,038746;
100000;9; 2;0,031176;
100000;9; 2;0,123297;
100000;8; 1;0,013783;
100000;8; 4;0,013859;
100000;8; 3;0,020348;
100000;2147483647; 1;0,017895;
100000;8; 1;0,072712;
100000;9; 2;0,003893;
100000;8; 5;0,026241;
100000;9; 3;0,072347;
100000;8; 1;0,082304;
100000;9; 1;0,102479;
100000;9; 2;0,000119;
100000;8; 2;0,060010;
100000;7; 2;0,008313;
100000;9; 2;0,044742;
100000;8; 4;0,129038;
100000;8; 2;0,058542;
100000;10; 5;0,005329;
100000;8; 3;0,027665;
100000;9; 3;0,033251;
100000;8; 1;0,200146;
100000;9; 2;0,011262;
100000;8; 1;0,085694;
100000;10; 1;0,289509;
100000;9; 2;0,005716;
100000;9; 2;0,000760;
100000;7; 5;0,019545;
100000;10; 2;0,004504;
100000;8; 4;0,034935;
100000;7; 2;0,000423;
100000;12; 1;0,082509;
100000;8; 3;0,007928;
100000;8; 2;0,010457;
100000;8; 1;0,003841;
100000;9; 3;0,002048;
100000;8; 2;0,001113;
100000;8; 2;0,011902;
100000;10; 2;0,040883;
100000;10; 2;0,091809;
100000;9; 2;0,024808;
100000;10; 2;0,002153;
100000;9; 1;0,451525;
100000;8; 3;0,008793;
100000;7; 2;0,063185;
100000;9; 3;0,019547;
100000;8; 1;0,115704;
100000;9; 2;0,026128;
100000;8; 3;0,009150;
100000;8; 3;0,035003;
100000;8; 2;0,058764;
100000;9; 3;0,032426;
100000;9; 2;0,014821;
100000;11; 1;0,090757;
100000;9; 2;0,054025;
100000;7; 3;0,022923;
100000;10; 1;0,059353;
100000;9; 3;0,000478;
100000;10; 4;0,009956;
100000;9; 2;0,002005;
100000;9; 2;0,044757;
100000;10; 2;0,080089;
100000;9; 1;0,005687;
100000;2147483647; 1;0,712078;
100000;8; 3;0,141038;
100000;11; 1;0,247680;
100000;10; 2;0,106884;
100000;9; 2;0,045596;
100000;9; 3;0,079448;
100000;9; 2;0,156908;
100000;10; 1;0,173625;
100000;7; 3;0,056763;
100000;5; 2;0,004692;
100000;9; 3;0,023636;
100000;6; 2;0,050589;
100000;9; 4;0,034716;
100000;10; 1;0,214668;
100000;9; 2;0,097570;
100000;9; 1;0,170405;
100000;8; 2;0,035019;
100000;9; 2;0,002266;
100000;8; 3;0,002009;
100000;9; 2;0,021034;
100000;9; 1;0,000822;
100000;9; 2;0,134627;
100000;10; 4;0,029622;
100000;7; 3;0,077330;
100000;10; 2;0,022698;
100000;9; 3;0,010845;
100000;7; 2;0,002097;
100000;9; 2;0,009765;
100000;2147483647; 1;0,018962;
100000;10; 1;0,064042;
100000;9; 2;0,039301;
100000;10; 2;0,029974;
100000;9; 2;0,020470;
100000;9; 2;0,007342;
100000;8; 2;0,006414;
100000;9; 2;0,021335;
100000;9; 2;0,047380;
100000;10; 1;0,033066;
100000;9; 1;0,044903;
100000;9; 2;0,008352;
100000;10; 2;0,020022;
100000;8; 2;0,045262;
100000;8; 4;0,033026;
100000;8; 2;0,093125;
100000;8; 2;0,014931;
100000;7; 3;0,023542;
100000;7; 3;0,009787;
100000;8; 2;0,045221;
100000;9; 3;0,029870;
100000;10; 1;0,171008;
100000;9; 1;0,208757;
100000;10; 2;0,015686;
100000;9; 1;0,655103;
100000;8; 1;0,006757;
100000;9; 1;0,002247;
100000;9; 2;0,089163;
100000;6; 3;0,022924;
100000;9; 2;0,071526;
100000;7; 4;0,076865;
100000;8; 4;0,020734;
100000;9; 1;0,103563;
100000;9; 2;0,031037;
100000;10; 2;0,308451;
100000;9; 1;0,022385;
100000;9; 4;0,017688;
100000;9; 2;0,003036;
100000;9; 3;0,103281;
100000;10; 1;0,324660;
100000;9; 2;0,137010;
100000;9; 2;0,142647;
100000;8; 1;0,136570;
100000;10; 2;0,103856;
100000;9; 1;0,394486;
100000;9; 3;0,047253;
100000;8; 3;0,009150;
100000;10; 1;0,061301;
100000;9; 1;0,113568;
100000;8; 2;0,131782;
100000;8; 2;0,013624;
100000;8; 1;0,075732;
100000;9; 4;0,033848;
100000;8; 3;0,015960;
100000;10; 1;0,045024;
100000;8; 1;0,079567;
100000;8; 2;0,067133;
100000;10; 2;0,019738;
100000;9; 2;0,006679;
100000;8; 3;0,008980;
100000;12; 1;0,093314;
100000;9; 2;0,000748;
100000;11; 2;0,013530;
100000;7; 1;0,043944;
100000;10; 3;0,028680;
100000;11; 2;0,476952;
100000;9; 3;0,005273;
100000;9; 1;0,020237;
100000;8; 1;0,069573;
100000;8; 4;0,029698;
100000;8; 2;0,145211;
100000;9; 4;0,016708;
100000;9; 2;0,021758;
100000;9; 2;0,086900;
100000;10; 1;0,286434;
100000;8; 2;0,043380;
100000;9; 2;0,067111;
100000;9; 2;0,027850;
100000;9; 2;0,030299;
100000;9; 2;0,027174;
100000;10; 2;0,097257;
100000;9; 2;0,096999;
100000;8; 4;0,013892;
100000;8; 3;0,080829;
100000;9; 3;0,076388;
100000;9; 3;0,030691;
100000;7; 4;0,003308;
100000;10; 1;0,120476;
100000;11; 1;0,390571;
100000;8; 2;0,040047;
100000;10; 2;0,023413;
100000;10; 2;0,003587;
100000;10; 2;0,062430;
100000;9; 2;0,040481;
100000;8; 2;0,094999;
100000;10; 3;0,017515;
100000;9; 2;0,006284;
100000;9; 5;0,027376;
100000;7; 4;0,061587;
100000;10; 3;0,026208;
100000;9; 2;0,055891;
100000;8; 2;0,031642;
100000;8; 4;0,018320;
100000;8; 2;0,040854;
100000;10; 3;0,049141;
100000;7; 2;0,008576;
100000;10; 2;0,074883;
100000;10; 4;0,020514;
100000;10; 5;0,057979;
100000;10; 3;0,015759;
100000;8; 2;0,005587;
100000;10; 1;0,585988;
100000;10; 4;0,045016;
100000;8; 3;0,046251;
100000;8; 3;0,080613;
100000;9; 2;0,389312;
100000;7; 1;0,354087;
100000;9; 3;0,046292;
100000;9; 1;0,019166;
100000;11; 2;0,021447;
100000;10; 2;0,042075;
100000;2147483647; 1;0,321772;
100000;10; 2;0,128643;
100000;10; 2;0,057277;
100000;8; 1;0,065861;
100000;10; 3;0,000230;
100000;7; 4;0,024802;
100000;8; 3;0,001404;
100000;10; 2;0,066474;
100000;8; 2;0,009068;
100000;12; 2;0,129273;
100000;8; 3;0,026493;
100000;9; 3;0,011937;
100000;9; 3;0,009699;
100000;8; 2;0,009853;
100000;10; 1;0,031103;
100000;9; 3;0,061345;
100000;9; 2;0,003116;
100000;9; 2;0,007815;
100000;10; 3;0,001998;
100000;11; 2;0,056887;
100000;10; 4;0,010567;
100000;9; 2;0,000132;
100000;9; 3;0,020097;
100000;8; 1;0,072535;
100000;10; 2;0,075394;
100000;9; 2;0,027921;
100000;10; 2;0,087635;
100000;9; 2;0,002093;
100000;9; 2;0,128500;
100000;9; 2;0,000536;
100000;2147483647; 1;0,667357;
100000;6; 1;0,045757;
100000;9; 1;0,206554;
100000;8; 3;0,072482;
100000;8; 3;0,035190;
100000;8; 2;0,035088;
100000;10; 2;0,003789;
100000;9; 2;0,104098;
100000;8; 3;0,003883;
100000;8; 2;0,065703;
100000;2147483647; 1;0,613154;
100000;8; 1;0,404182;
100000;10; 2;0,093478;
100000;9; 4;0,002693;
100000;10; 1;0,008102;
100000;9; 2;0,016334;
100000;9; 2;0,174194;
100000;8; 1;0,017705;
100000;6; 1;0,045160;
100000;9; 1;0,084904;
100000;10; 3;0,106096;
100000;8; 3;0,028873;
100000;6; 3;0,069458;
100000;8; 1;0,070862;
100000;2147483647; 1;0,321616;
100000;10; 2;0,004692;
100000;8; 2;0,096116;
100000;9; 2;0,000010;
100000;2147483647; 1;0,050369;
100000;10; 1;0,060917;
100000;8; 1;0,078706;
100000;8; 2;0,052313;
100000;9; 2;0,090660;
100000;6; 3;0,002594;
100000;11; 1;0,525253;
100000;9; 1;0,090468;
100000;10; 2;0,072722;
100000;8; 2;0,052511;
100000;9; 2;0,058406;
100000;6; 2;0,163331;
100000;9; 1;0,044782;
100000;9; 1;0,193779;
100000;9; 2;0,042067;
100000;8; 4;0,021837;
100000;8; 3;0,014502;
100000;9; 2;0,000831;
100000;9; 2;0,051730;
100000;9; 2;0,006582;
100000;8; 2;0,008833;
100000;10; 2;0,025595;
100000;10; 1;0,007387;
100000;9; 2;0,178261;
100000;8; 1;0,015609;
100000;9; 2;0,250575;
100000;10; 3;0,028585;
100000;9; 1;0,158160;
100000;9; 3;0,001792;
100000;6; 3;0,047866;
100000;8; 2;0,223066;
100000;8; 3;0,020656;
100000;8; 2;0,040959;
100000;4; 3;0,052664;
100000;9; 2;0,089500;
100000;8; 1;0,117807;
100000;8; 2;0,014502;
100000;10; 4;0,000798;
100000;7; 2;0,093437;
100000;9; 2;0,023415;
100000;9; 1;0,004889;
100000;10; 4;0,019176;
100000;8; 2;0,043361;
100000;8; 3;0,065500;
100000;8; 2;0,003157;
100000;8; 2;0,061938;
100000;9; 3;0,002855;
100000;8; 2;0,001441;
100000;8; 3;0,009213;
100000;9; 2;0,024492;
100000;8; 1;0,059236;
100000;9; 3;0,021034;
100000;8; 3;0,037203;
100000;9; 2;0,034284;
100000;10; 2;0,012747;
100000;9; 4;0,002938;
100000;9; 1;0,321082;
100000;8; 2;0,007529;
